Date,Close
2022-03-17,157.37
2022-03-18,160.67
2022-03-21,162.04
2022-03-22,165.41
2022-03-23,166.77
2022-03-24,170.55
2022-03-25,171.19
2022-03-28,172.05
2022-03-29,175.34
2022-03-30,174.18
2022-03-31,171.08
2022-04-01,170.79
2022-04-04,174.83
2022-04-05,171.52
2022-04-06,168.36
2022-04-07,168.66
2022-04-08,166.65
2022-04-11,162.4
2022-04-12,164.27
2022-04-13,166.96
2022-04-14,161.95
2022-04-18,161.73
2022-04-19,164.02
2022-04-20,163.85
2022-04-21,163.06
2022-04-22,158.52
2022-04-25,159.59
2022-04-26,153.63
2022-04-27,153.4
2022-04-28,160.33
2022-04-29,154.46
2022-05-02,154.77
2022-05-03,156.26
2022-05-04,162.66
2022-05-05,153.6
2022-05-06,154.33
2022-05-09,149.2
2022-05-10,151.61
2022-05-11,143.75
2022-05-12,139.88
2022-05-13,144.35
2022-05-16,142.81
2022-05-17,146.44
2022-05-18,138.18
2022-05-19,134.77
2022-05-20,135.01
2022-05-23,140.42
2022-05-24,137.72
2022-05-25,137.88
2022-05-26,141.08
2022-05-27,146.83
2022-05-31,146.05
2022-06-01,145.92
2022-06-02,148.37
2022-06-03,142.65
2022-06-06,143.4
2022-06-07,145.92
2022-06-08,145.18
2022-06-09,139.96
2022-06-10,134.56
2022-06-13,129.4
2022-06-14,130.27
2022-06-15,132.89
2022-06-16,127.62
2022-06-17,129.09
2022-06-21,133.32
2022-06-22,132.81
2022-06-23,135.67
2022-06-24,139.0
2022-06-27,139.0
2022-06-28,134.86
2022-06-29,136.62
2022-06-30,134.15
2022-07-01,136.32
2022-07-05,138.9
2022-07-06,140.24
2022-07-07,143.6
2022-07-08,144.28
2022-07-11,142.15
2022-07-12,143.12
2022-07-13,142.76
2022-07-14,145.68
2022-07-15,147.35
2022-07-18,144.31
2022-07-19,148.16
2022-07-20,150.17
2022-07-21,152.43
2022-07-22,151.2
2022-07-25,150.08
2022-07-26,148.75
2022-07-27,153.85
2022-07-28,154.4
2022-07-29,159.46
2022-08-01,158.48
2022-08-02,157.01
2022-08-03,163.01
2022-08-04,162.7
2022-08-05,162.47
2022-08-08,162.0
2022-08-09,162.05
2022-08-10,166.29
2022-08-11,165.56
2022-08-12,169.1
2022-08-15,170.17
2022-08-16,170.02
2022-08-17,171.51
2022-08-18,171.12
2022-08-19,168.53
2022-08-22,164.65
2022-08-23,164.32
2022-08-24,164.61
2022-08-25,167.07
2022-08-26,160.77
2022-08-29,158.57
2022-08-30,156.14
2022-08-31,154.48
2022-09-01,155.21
2022-09-02,153.1
2022-09-06,151.84
2022-09-07,153.24
2022-09-08,151.77
2022-09-09,154.63
2022-09-12,160.58
2022-09-13,151.16
2022-09-14,152.61
2022-09-15,149.72
2022-09-16,148.08
2022-09-19,151.79
2022-09-20,154.17
2022-09-21,151.04
2022-09-22,150.08
2022-09-23,147.81
2022-09-26,148.14
2022-09-27,149.12
2022-09-28,147.23
2022-09-29,140.0
2022-09-30,135.79
2022-10-03,139.97
2022-10-04,143.56
2022-10-05,143.85
2022-10-06,142.9
2022-10-07,137.65
2022-10-10,137.97
2022-10-11,136.56
2022-10-12,135.93
2022-10-13,140.5
2022-10-14,135.97
2022-10-17,139.93
2022-10-18,141.25
2022-10-19,141.35
2022-10-20,140.89
2022-10-21,144.71
2022-10-24,146.85
2022-10-25,149.69
2022-10-26,146.75
2022-10-27,142.28
2022-10-28,153.03
2022-10-31,150.67
2022-11-01,148.03
2022-11-02,142.5
2022-11-03,136.46
2022-11-04,136.2
2022-11-07,136.73
2022-11-08,137.3
2022-11-09,132.74
2022-11-10,144.55
2022-11-11,147.34
2022-11-14,145.94
2022-11-15,147.67
2022-11-16,146.44
2022-11-17,148.34
2022-11-18,148.9
2022-11-21,145.67
2022-11-22,147.81
2022-11-23,148.69
2022-11-25,145.77
2022-11-28,141.94
2022-11-29,138.94
2022-11-30,145.69
2022-12-01,145.97
2022-12-02,145.48
2022-12-05,144.32
2022-12-06,140.65
2022-12-07,138.72
2022-12-08,140.4
2022-12-09,139.92
2022-12-12,142.21
2022-12-13,143.17
2022-12-14,140.95
2022-12-15,134.35
2022-12-16,132.39
2022-12-19,130.28
2022-12-20,130.21
2022-12-21,133.31
2022-12-22,130.14
2022-12-23,129.78
2022-12-27,127.98
2022-12-28,124.05
2022-12-29,127.56
2022-12-30,127.88
2023-01-03,123.1
2023-01-04,124.37
2023-01-05,123.05
2023-01-06,127.57
2023-01-09,128.1
2023-01-10,128.67
