Date,Close
2022-03-17,285.59
2022-03-18,290.63
2022-03-21,289.4
2022-03-22,294.14
2022-03-23,289.72
2022-03-24,294.18
2022-03-25,293.77
2022-03-28,300.56
2022-03-29,305.12
2022-03-30,303.62
2022-03-31,298.25
2022-04-01,299.33
2022-04-04,304.69
2022-04-05,300.74
2022-04-06,289.73
2022-04-07,291.54
2022-04-08,287.28
2022-04-11,275.95
2022-04-12,272.86
2022-04-13,278.24
2022-04-14,270.7
2022-04-18,271.37
2022-04-19,275.99
2022-04-20,277.02
2022-04-21,271.65
2022-04-22,265.09
2022-04-25,271.56
2022-04-26,261.4
2022-04-27,273.98
2022-04-28,280.18
2022-04-29,268.47
2022-05-02,275.19
2022-05-03,272.59
2022-05-04,280.52
2022-05-05,268.3
2022-05-06,265.77
2022-05-09,255.95
2022-05-10,260.71
2022-05-11,252.05
2022-05-12,247.02
2022-05-13,252.6
2022-05-16,252.97
2022-05-17,258.12
2022-05-18,246.36
2022-05-19,245.45
2022-05-20,244.89
2022-05-23,252.73
2022-05-24,251.74
2022-05-25,254.55
2022-05-26,257.82
2022-05-27,264.94
2022-05-31,263.61
2022-06-01,264.15
2022-06-02,266.24
2022-06-03,261.82
2022-06-06,260.59
2022-06-07,264.22
2022-06-08,262.2
2022-06-09,256.75
2022-06-10,245.31
2022-06-13,234.9
2022-06-14,237.06
2022-06-15,244.11
2022-06-16,237.53
2022-06-17,240.13
2022-06-21,246.03
2022-06-22,245.44
2022-06-23,251.0
2022-06-24,259.57
2022-06-27,256.84
2022-06-28,248.69
2022-06-29,252.36
2022-06-30,249.03
2022-07-01,251.7
2022-07-05,254.87
2022-07-06,258.12
2022-07-07,260.25
2022-07-08,259.53
2022-07-11,256.48
2022-07-12,245.97
2022-07-13,245.04
2022-07-14,246.36
2022-07-15,248.92
2022-07-18,246.53
2022-07-19,251.65
2022-07-20,254.3
2022-07-21,256.8
2022-07-22,252.45
2022-07-25,250.97
2022-07-26,244.25
2022-07-27,260.58
2022-07-28,268.02
2022-07-29,272.21
2022-08-01,269.57
2022-08-02,266.47
2022-08-03,273.89
2022-08-04,275.04
2022-08-05,274.32
2022-08-08,271.81
2022-08-09,273.73
2022-08-10,280.38
2022-08-11,278.3
2022-08-12,283.04
2022-08-15,284.56
2022-08-16,283.82
2022-08-17,283.07
2022-08-18,281.95
2022-08-19,278.05
2022-08-22,269.89
2022-08-23,268.61
2022-08-24,267.98
2022-08-25,270.95
2022-08-26,260.5
2022-08-29,257.72
2022-08-30,255.52
2022-08-31,254.07
2022-09-01,253.03
2022-09-02,248.81
2022-09-06,246.08
2022-09-07,250.78
2022-09-08,251.2
2022-09-09,256.97
2022-09-12,259.1
2022-09-13,244.86
2022-09-14,245.08
2022-09-15,238.43
2022-09-16,237.81
2022-09-19,237.6
2022-09-20,235.59
2022-09-21,232.18
2022-09-22,234.16
2022-09-23,231.18
2022-09-26,230.73
2022-09-27,229.72
2022-09-28,234.24
2022-09-29,230.78
2022-09-30,226.31
2022-10-03,233.92
2022-10-04,241.83
2022-10-05,242.14
2022-10-06,239.8
2022-10-07,227.61
2022-10-10,222.76
2022-10-11,219.03
2022-10-12,219.36
2022-10-13,227.61
2022-10-14,222.09
2022-10-17,230.8
2022-10-18,231.75
2022-10-19,229.78
2022-10-20,229.46
2022-10-21,235.26
2022-10-24,240.25
2022-10-25,243.56
2022-10-26,224.77
2022-10-27,220.33
2022-10-28,229.19
2022-10-31,225.56
2022-11-01,221.71
2022-11-02,213.87
2022-11-03,208.18
2022-11-04,215.12
2022-11-07,221.42
2022-11-08,222.39
2022-11-09,218.15
2022-11-10,236.1
2022-11-11,240.11
2022-11-14,234.71
2022-11-15,235.12
2022-11-16,235.55
2022-11-17,235.5
2022-11-18,235.05
2022-11-21,235.86
2022-11-22,238.76
2022-11-23,241.25
2022-11-25,241.16
2022-11-28,235.58
2022-11-29,234.18
2022-11-30,248.61
2022-12-01,248.18
2022-12-02,248.5
2022-12-05,243.8
2022-12-06,238.85
2022-12-07,238.12
2022-12-08,241.07
2022-12-09,239.14
2022-12-12,246.05
2022-12-13,250.35
2022-12-14,250.64
2022-12-15,242.64
2022-12-16,238.43
2022-12-19,234.3
2022-12-20,235.62
2022-12-21,238.18
2022-12-22,232.1
2022-12-23,232.62
2022-12-27,230.9
2022-12-28,228.53
2022-12-29,234.85
2022-12-30,233.69
2023-01-03,233.45
2023-01-04,223.24
2023-01-05,216.62
2023-01-06,219.18
2023-01-09,221.31
2023-01-10,223.0
2023-01-11,229.74
2023-01-12,232.41
2023-01-13,233.11
2023-01-17,234.2
2023-01-18,229.78
2023-01-19,226.0
2023-01-20,234.08
2023-01-23,236.38
2023-01-24,235.85
2023-01-25,234.46
2023-01-26,241.66
2023-01-27,241.81
2023-01-30,236.5
2023-01-31,241.47
2023-02-01,246.29
2023-02-02,257.83
2023-02-03,251.74
2023-02-06,250.2
2023-02-07,260.72
2023-02-08,259.91
2023-02-09,256.88
2023-02-10,256.37
2023-02-13,264.38
2023-02-14,265.21
2023-02-15,263.09
2023-02-16,256.09
2023-02-17,252.09
2023-02-21,246.82
2023-02-22,245.69
2023-02-23,248.88
2023-02-24,243.45
2023-02-27,244.37
2023-02-28,243.65
2023-03-01,240.57
2023-03-02,245.3
2023-03-03,249.38
2023-03-06,250.93
2023-03-07,248.27
2023-03-08,247.83
2023-03-09,246.48
2023-03-10,242.84
2023-03-13,248.05
2023-03-14,254.76
2023-03-15,259.3
2023-03-16,269.81
2023-03-17,272.97
2023-03-20,265.93
2023-03-21,267.45
2023-03-22,265.99
2023-03-23,271.24
2023-03-24,274.08
2023-03-27,269.99
2023-03-28,268.86
2023-03-29,274.02
